"차량명","충전방식","등록일"
"SM3 Z.E","AC3상(급속)","2016-09-12 11:17"
"스파크 EV","DC차데모+DC콤보+AC3상(급속)","2016-09-12 11:17"
"SM3 Z.E","DC차데모+DC콤보+AC3상(급속)","2016-09-12 11:17"
"레이EV","DC차데모(급속)","2016-09-12 11:17"
"레이EV","DC차데모+DC콤보(급속)","2016-09-12 11:17"
"레이EV","DC차데모+AC3상(급속)","2016-09-12 11:17"
"레이EV","DC차데모+DC콤보+AC3상(급속)","2016-09-12 11:17"
"소울EV","DC차데모(급속)","2016-09-12 11:17"
"소울EV","DC차데모+DC콤보(급속)","2016-09-12 11:17"
"소울EV","DC차데모+AC3상(급속)","2016-09-12 11:17"
"소울EV","DC차데모+DC콤보+AC3상(급속)","2016-09-12 11:17"
"닛산리프","DC차데모(급속)","2016-09-12 11:17"
"닛산리프","DC차데모+DC콤보(급속)","2016-09-12 11:17"
"닛산리프","DC차데모+AC3상(급속)","2016-09-12 11:17"
"닛산리프","DC차데모+DC콤보+AC3상(급속)","2016-09-12 11:17"
"아이오닉EV","DC차데모(급속)","2016-09-12 11:17"
"아이오닉EV","DC차데모+DC콤보(급속)","2016-09-12 11:17"
"아이오닉EV","DC차데모+AC3상(급속)","2016-09-12 11:17"
"아이오닉EV","DC차데모+DC콤보+AC3상(급속)","2016-09-12 11:17"
"BMW i3","DC콤보(급속)","2016-09-12 11:17"
"BMW i3","DC차데모+DC콤보(급속)","2016-09-12 11:17"
"BMW i3","DC차데모+DC콤보+AC3상(급속)","2016-09-12 11:17"
"스파크 EV","DC콤보(급속)","2016-09-12 11:17"
"스파크 EV","DC차데모+DC콤보(급속)","2016-09-12 11:17"
"SM3 Z.E","DC차데모+AC3상(급속)","2016-09-12 11:17"
"SM3 Z.E","B타입5핀(완속)","2016-09-27 10:19"
"SM3 Z.E","C타입5핀(완속)","2016-09-27 10:19"
"SM3 Z.E","BC타입5핀(완속)","2016-09-27 10:19"
"SM3 Z.E","BC타입7핀(완속)","2016-09-27 10:19"
"레이EV","B타입5핀(완속)","2016-09-27 10:20"
"레이EV","C타입5핀(완속)","2016-09-27 10:20"
"레이EV","BC타입5핀(완속)","2016-09-27 10:20"
"레이EV","BC타입7핀(완속)","2016-09-27 10:20"
"BMW i3","B타입5핀(완속)","2016-09-27 10:24"
"BMW i3","C타입5핀(완속)","2016-09-27 10:25"
"BMW i3","BC타입5핀(완속)","2016-09-27 10:25"
"BMW i3","BC타입7핀(완속)","2016-09-27 10:25"
"닛산리프","B타입5핀(완속)","2016-09-27 10:25"
"닛산리프","C타입5핀(완속)","2016-09-27 10:25"
"닛산리프","BC타입5핀(완속)","2016-09-27 10:25"
"닛산리프","BC타입7핀(완속)","2016-09-27 10:25"
"레이EV","C타입5핀(완속)","2016-09-27 10:26"
"소울EV","B타입5핀(완속)","2016-09-27 10:27"
"소울EV","C타입5핀(완속)","2016-09-27 10:27"
"소울EV","BC타입5핀(완속)","2016-09-27 10:27"
"소울EV","BC타입7핀(완속)","2016-09-27 10:27"
"스파크 EV","B타입5핀(완속)","2016-09-27 10:27"
"스파크 EV","C타입5핀(완속)","2016-09-27 10:27"
"스파크 EV","BC타입5핀(완속)","2016-09-27 10:27"
"스파크 EV","BC타입7핀(완속)","2016-09-27 10:27"
"아이오닉EV","B타입5핀(완속)","2016-09-27 10:28"
"아이오닉EV","C타입5핀(완속)","2016-09-27 10:28"
"아이오닉EV","BC타입5핀(완속)","2016-09-27 10:28"
"아이오닉EV","BC타입7핀(완속)","2016-09-27 10:28"
"테슬라","AC3상(급속)","2017-03-13 09:10"
"테슬라","DC차데모+AC3상(급속)","2017-03-13 21:08"
"테슬라","DC차데모+DC콤보+AC3상(급속)","2017-03-13 21:08"
"볼트 EV","B타입5핀(완속)","2017-08-30 16:48"
"볼트 EV","BC타입5핀(완속)","2017-08-30 16:48"
"볼트 EV","C타입5핀(완속)","2017-08-30 16:48"
"볼트 EV","BC타입7핀(완속)","2017-08-30 16:48"
"볼트 EV","DC콤보(급속)","2017-08-30 16:48"
"볼트 EV","DC차데모+DC콤보(급속)","2017-08-30 16:48"
"볼트 EV","DC차데모+DC콤보+AC3상(급속)","2017-08-30 16:48"
"볼보 xc90","BC타입7핀(완속)","2017-10-25 14:32"
"볼보 xc90","DC차데모+AC3상(급속)","2017-10-25 14:32"
"볼보 xc90","AC3상(급속)","2017-10-25 14:32"
"볼보 xc90","DC차데모+DC콤보+AC3상(급속)","2017-10-25 14:32"
